NAME,NONOIL,INTER,OECD,GDP60,GDP85,GDPGRO,POPGRO,IONY,SCHOOL,LIT60
Bolivia,1,1,0,1618,2055,3.3,2.4,13.3,4.9,39
Brazil,1,1,0,1842,5563,7.3,2.9,23.2,4.7,61
Chile,1,1,0,5189,5533,2.6,2.3,29.7,7.7,84
Colombia,1,1,0,2672,4405,5,3,18,6.1,63
Ecuador,1,1,0,2198,4504,5.7,2.8,24.4,7.2,68
Guyana,0,0,0,2761,NA,1.1,NA,32.4,11.7,NA
Paraguay,1,1,0,1951,3914,5.5,2.7,11.7,4.4,75
Peru,1,1,0,3310,3775,3.5,2.9,12,8,61
Surinam,0,0,0,3226,NA,4.5,NA,19.4,8.1,NA
Uruguay,1,1,0,5119,5495,0.9,0.6,11.8,7,94
Venezuel,1,1,0,10367,6336,1.9,3.8,11.4,7,63
Australi,1,1,1,8440,13409,3.8,2,31.5,9.8,100
Fiji,0,0,0,3634,NA,4.2,NA,20.6,8.1,NA
Indonesi,1,1,0,879,2159,5.5,1.9,13.9,4.1,39
New Zealand,1,1,1,9523,12308,2.7,1.7,22.5,11.9,99
PapuaNew,1,0,0,1781,2544,3.5,2.1,16.2,1.5,29
